UPN,Bot_Y,Bot_X,Bot_Z
25268,365744.325051,2261149.2605725,891.78954
22318,0,0,0
13183,0,0,0
25235,365717.7709855,2261149.2702855,890.868402
22317,0,0,0
39639,0,0,0
22316,0,0,0
39638,0,0,0
22315,0,0,0
25234,365691.140328,2261149.24016,889.892778
44893,0,0,0
22314,0,0,0
25233,0,0,0
29668,0,0,0
22313,0,0,0
25217,0,0,0
29667,0,0,0
22312,0,0,0
25199,0,0,0
29666,0,0,0
22311,0,0,0
25198,0,0,0
29665,0,0,0
47224,0,0,0
47510,0,0,0
29664,0,0,0
22324,0,0,0
22341,0,0,0
29663,0,0,0
